brand,section,page,config,install,variant,w_mm,h_mm,d_mm,aux,flag,source
Wolf,M Series Ovens,10,"30"" M Series Single Oven",STANDARD INSTALLATION,,724,,591,,,wolf-design-guide.pdf rev 7/2025 p.10
Wolf,M Series Ovens,12,"30"" M Series Double Oven",STANDARD INSTALLATION,,724,,591,,,wolf-design-guide.pdf rev 7/2025 p.12
Wolf,M Series Ovens,14,"30"" M Series Single Oven",DUAL STANDARD INSTALLATION,,1486,,591,,,wolf-design-guide.pdf rev 7/2025 p.14
Wolf,E Series Ovens,22,"24"" E Series Single Oven",STANDARD INSTALLATION,,562,591,584,,,wolf-design-guide.pdf rev 7/2025 p.22
Wolf,E Series Ovens,24,"30"" E Series Single Oven",STANDARD INSTALLATION,,724,,591,,,wolf-design-guide.pdf rev 7/2025 p.24
Wolf,E Series Ovens,26,"30"" E Series Double Oven",STANDARD INSTALLATION,,724,,591,,,wolf-design-guide.pdf rev 7/2025 p.26
Wolf,E Series Ovens,28,"30"" E Series Single Oven",DUAL STANDARD INSTALLATION,,1486,,591,,,wolf-design-guide.pdf rev 7/2025 p.28
Wolf,Convection Steam Ovens,36,Convection Steam Oven,STANDARD INSTALLATION,"24"" Model",562,449,584,,,wolf-design-guide.pdf rev 7/2025 p.36
Wolf,Convection Steam Ovens,36,Convection Steam Oven,STANDARD INSTALLATION,"30"" Model",724,449,584,,колонки сопоставлены эвристикой — проверить,wolf-design-guide.pdf rev 7/2025 p.36
Wolf,Convection Steam Ovens,37,Convection Steam Oven,FLUSH INSET INSTALLATION,"24"" Model",603,,,"A=13/16"" (21)",,wolf-design-guide.pdf rev 7/2025 p.37
Wolf,Convection Steam Ovens,37,Convection Steam Oven,FLUSH INSET INSTALLATION,"30"" Model",765,,,"?=13/16"" (21)",колонки сопоставлены эвристикой — проверить,wolf-design-guide.pdf rev 7/2025 p.37
Wolf,Speed Ovens,42,Speed Oven,STANDARD INSTALLATION,"24"" Model",562,449,584,,,wolf-design-guide.pdf rev 7/2025 p.42
Wolf,Speed Ovens,42,Speed Oven,STANDARD INSTALLATION,"30"" Model",562,449,584,,колонки сопоставлены эвристикой — проверить,wolf-design-guide.pdf rev 7/2025 p.42
Wolf,Microwave Ovens,50,Drop-Down Door Microwave Oven,STANDARD INSTALLATION,"24"" Model",562,449,548,,,wolf-design-guide.pdf rev 7/2025 p.50
Wolf,Microwave Ovens,50,Drop-Down Door Microwave Oven,STANDARD INSTALLATION,"30"" Model",562,449,548,,колонки сопоставлены эвристикой — проверить,wolf-design-guide.pdf rev 7/2025 p.50
Wolf,Microwave Ovens,52,Drawer Microwave Oven,STANDARD INSTALLATION,"24"" Model",562,375,559,,,wolf-design-guide.pdf rev 7/2025 p.52
Wolf,Microwave Ovens,52,Drawer Microwave Oven,STANDARD INSTALLATION,"30"" Model",562,375,559,,колонки сопоставлены эвристикой — проверить,wolf-design-guide.pdf rev 7/2025 p.52
Wolf,Microwave Ovens,54,Convection Microwave Oven,STANDARD INSTALLATION WITH TRIM,"27"" Trim",641,479,511,,,wolf-design-guide.pdf rev 7/2025 p.54
Wolf,Microwave Ovens,54,Convection Microwave Oven,STANDARD INSTALLATION WITH TRIM,"30"" Trim",699,479,511,,колонки сопоставлены эвристикой — проверить,wolf-design-guide.pdf rev 7/2025 p.54
Wolf,Microwave Ovens,56,Standard Microwave Oven,STANDARD INSTALLATION WITH TRIM,"27"" Trim",641,432,508,,,wolf-design-guide.pdf rev 7/2025 p.56
Wolf,Microwave Ovens,56,Standard Microwave Oven,STANDARD INSTALLATION WITH TRIM,"30"" Trim",699,432,508,,колонки сопоставлены эвристикой — проверить,wolf-design-guide.pdf rev 7/2025 p.56
Wolf,Warming Drawers,62,Warming Drawer,STANDARD INSTALLATION,,727,232,584,,,wolf-design-guide.pdf rev 7/2025 p.62
Wolf,Coffee System,86,Coffee System,STANDARD INSTALLATION,"24"" Model",562,,548,,,wolf-design-guide.pdf rev 7/2025 p.86
Wolf,Coffee System,86,Coffee System,STANDARD INSTALLATION,"30"" Model",562,,548,,колонки сопоставлены эвристикой — проверить,wolf-design-guide.pdf rev 7/2025 p.86
Wolf,Vacuum Seal Drawer,92,Vacuum Seal Drawer,STANDARD INSTALLATION,,562,141,572,,,wolf-design-guide.pdf rev 7/2025 p.92
Wolf,Dual Fuel Ranges,97,Dual Fuel Range,INSTALLATION,"30"" Range",762,,,"A=101/4"" (260)",,wolf-design-guide.pdf rev 7/2025 p.97
Wolf,Dual Fuel Ranges,97,Dual Fuel Range,INSTALLATION,"36"" Range",914,,,"?=161/4"" (413)",колонки сопоставлены эвристикой — проверить,wolf-design-guide.pdf rev 7/2025 p.97
Wolf,Dual Fuel Ranges,97,Dual Fuel Range,INSTALLATION,"48"" Range",1219,,,"?=181/4"" (464)",колонки сопоставлены эвристикой — проверить,wolf-design-guide.pdf rev 7/2025 p.97
Wolf,Dual Fuel Ranges,97,Dual Fuel Range,INSTALLATION,"60"" Range",1524,,,"?=181/4"" (464)",колонки сопоставлены эвристикой — проверить,wolf-design-guide.pdf rev 7/2025 p.97
Wolf,Gas Ranges,101,Gas Range,INSTALLATION,"12""",254,,,,колонки сопоставлены эвристикой — проверить,wolf-design-guide.pdf rev 7/2025 p.101
Wolf,Gas Ranges,101,Gas Range,INSTALLATION,"30"" Range",762,,,,,wolf-design-guide.pdf rev 7/2025 p.101
Wolf,Gas Ranges,101,Gas Range,INSTALLATION,"36"" Range",914,,,,колонки сопоставлены эвристикой — проверить,wolf-design-guide.pdf rev 7/2025 p.101
Wolf,Gas Ranges,101,Gas Range,INSTALLATION,"48"" Range",1219,,,,колонки сопоставлены эвристикой — проверить,wolf-design-guide.pdf rev 7/2025 p.101
Wolf,Gas Ranges,101,Gas Range,INSTALLATION,"60"" Range",1530,,,,колонки сопоставлены эвристикой — проверить,wolf-design-guide.pdf rev 7/2025 p.101
Wolf,Induction Ranges,105,Transitional Induction Range,INSTALLATION,"30"" Transitional",762,,,"A=101/4"" (260)",,wolf-design-guide.pdf rev 7/2025 p.105
Wolf,Induction Ranges,105,Transitional Induction Range,INSTALLATION,"36"" Transitional",914,,,"?=161/4"" (413)",колонки сопоставлены эвристикой — проверить,wolf-design-guide.pdf rev 7/2025 p.105
Wolf,Induction Ranges,106,Professional Induction Range,INSTALLATION,"30"" Professional",762,,,"A=101/4"" (260)",,wolf-design-guide.pdf rev 7/2025 p.106
Wolf,Induction Ranges,106,Professional Induction Range,INSTALLATION,"36"" Professional",914,,,"?=161/4"" (413)",колонки сопоставлены эвристикой — проверить,wolf-design-guide.pdf rev 7/2025 p.106
Wolf,Induction Ranges,106,Professional Induction Range,INSTALLATION,"48"" Professional",1219,,,"?=181/4"" (464)",колонки сопоставлены эвристикой — проверить,wolf-design-guide.pdf rev 7/2025 p.106
Wolf,Induction Ranges,107,"30"" Transitional Induction Range",DUAL INSTALLATION,,1521,,,,,wolf-design-guide.pdf rev 7/2025 p.107
Wolf,Sealed Burner Rangetops,111,Sealed Burner Rangetop,INSTALLATION,"30"" Rangetop",762,191,,,,wolf-design-guide.pdf rev 7/2025 p.111
Wolf,Sealed Burner Rangetops,111,Sealed Burner Rangetop,INSTALLATION,"36"" Rangetop",914,191,,,колонки сопоставлены эвристикой — проверить,wolf-design-guide.pdf rev 7/2025 p.111
